family_key,family_label,blocks,n_active,order_label,order_pretty,levels,screen_fidelity,screen_duration_ns,screen_gate_depth,replay_n12_fidelity,replay_n12_leakage,replay_n12_unitarity_error
drcpsqr,D + R + CPSQR,2,4,RDCP,R > D > CPSQR,0-1-2-3,0.5302519840670863,664.0,7,0.5304759705372912,0.15704183771315505,3.2958312790459385e-15
drsqr,D + R + SQR,2,1,RDS,R > D > SQR,0,0.5303446527196808,2520.0,7,0.5303446137650368,0.006409583806948893,3.0332125730562826e-14
drsqr,D + R + SQR,2,1,RSD,R > SQR > D,0,0.5211341827264756,2520.0,7,0.5211341399117548,0.007985434758670307,3.7794358034720855e-14
drsqr,D + R + SQR,3,1,RSD,R > SQR > D,0,0.5163062515274313,3740.0,10,0.5163075100300598,0.013163823571127664,2.7487111240373785e-14
drsqr,D + R + SQR,2,2,SDR,SQR > D > R,0-1,0.5116531760699279,2520.0,7,0.5116461961996182,0.6225695358472725,2.9053890257332504e-15
drcpsqr,D + R + CPSQR,3,3,DCPR,D > CPSQR > R,0-1-2,0.530342689927196,867.0,10,0.5104491594300798,0.6776779158240513,6.03073540993021e-15
drsqr,D + R + SQR,2,3,SDR,SQR > D > R,0-1-2,0.5062925070635064,2520.0,7,0.5058892451712562,0.5434171013166538,3.3377746670171877e-15
drcpsqr,D + R + CPSQR,3,4,DRCP,D > R > CPSQR,0-1-2-3,0.505067432524411,895.0,10,0.5050613916039312,0.011933492944973034,1.3459854799448892e-14
drcpsqr,D + R + CPSQR,2,3,DCPR,D > CPSQR > R,0-1-2,0.5069232980036785,593.0,7,0.504782653853695,0.5526605442880248,4.289504591504003e-15
drsqr,D + R + SQR,3,2,RSD,R > SQR > D,0-1,0.5040649782435758,3740.0,10,0.5040650971930328,0.03399553890345852,2.2377259667690803e-14
drsqr,D + R + SQR,3,3,RSD,R > SQR > D,0-1-2,0.5040386622136954,3740.0,10,0.5040390299624731,0.03398155058485497,1.9650566281746966e-14
drsqr,D + R + SQR,3,4,RSD,R > SQR > D,0-1-2-3,0.5040381533798634,3740.0,10,0.5040378872180754,0.03401200763293266,4.0126470590066114e-14
drcpsqr,D + R + CPSQR,2,1,RDCP,R > D > CPSQR,0,0.5021401259281875,682.0,7,0.5020634154338891,0.2731091060183465,2.3315683793220676e-15
