n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,storage_target_probability,storage_total_f_probability,dump_witness_target_probability,dump_witness_readout_n
1,-1.0,400.0,0.3,0.2613591338718858,0.26135913387188575,0.2602909228769204,0.26029092287692046
1,-0.5,400.0,0.3,0.40690702645164917,0.4069070264516492,0.4052448595520077,0.4052448595520076
1,0.0,400.0,0.3,0.46736672378280025,0.46736672378280025,0.4654579383916545,0.46545793839165456
1,0.5,400.0,0.3,0.40672039868197374,0.4067203986819737,0.40505900306487314,0.4050590030648731
1,1.0,400.0,0.3,0.2610992347451132,0.26109923474511315,0.2600320879664308,0.2600320879664308
1,1.5,400.0,0.3,0.11061505389113936,0.11061505389113938,0.11016258916299412,0.11016258916299412
1,2.0,400.0,0.3,0.020282977559963267,0.020282977559963267,0.020199947454077345,0.02019994745407734
1,2.5,400.0,0.3,0.00042345355839213474,0.00042345355839213474,0.0004217109907772803,0.00042171099077728026
1,3.0,400.0,0.3,0.015931305546249813,0.015931305546249816,0.01586607515431952,0.015866075154319516
1,3.5,400.0,0.3,0.026598245240840767,0.026598245240840764,0.026489378749006025,0.026489378749006025
1,4.0,400.0,0.3,0.01900548515356614,0.019005485153566145,0.018927672028235636,0.018927672028235636
1,4.5,400.0,0.3,0.005227726942765175,0.005227726942765174,0.005206312997357229,0.005206312997357229
1,5.0,400.0,0.3,2.6422770479099374e-05,2.6422770479099374e-05,2.6313230671078603e-05,2.6313230671078606e-05
1,5.5,400.0,0.3,0.004469342507227167,0.004469342507227166,0.004451041650823105,0.004451041650823105
1,6.0,400.0,0.3,0.009112301539638448,0.00911230153963845,0.009074985261352659,0.009074985261352659
1,6.5,400.0,0.3,0.007444245397666215,0.007444245397666214,0.00741375673678988,0.00741375673678988
1,7.0,400.0,0.3,0.0023129883796561583,0.0023129883796561583,0.002303512028275135,0.0023035120282751355
1,7.5,400.0,0.3,4.088160792111925e-06,4.088160792111926e-06,4.0653754186066675e-06,4.0653754186066675e-06
1,8.0,400.0,0.3,0.0020440642064166307,0.0020440642064166303,0.00203568627086739,0.00203568627086739
1,8.5,400.0,0.3,0.0045136351837913894,0.0045136351837913894,0.004495155462469262,0.0044951554624692615
1,9.0,400.0,0.3,0.003925977917307751,0.003925977917307752,0.003909890852894665,0.003909890852894665
1,9.5,400.0,0.3,0.001299355422244086,0.001299355422244086,0.0012940269817035336,0.0012940269817035338
1,10.0,400.0,0.3,1.0048926997617748e-06,1.0048926997617748e-06,9.976195483144203e-07,9.976195483144203e-07
2,-10.0,400.0,0.21213203435596423,1.2448492783393531e-06,1.2448492783393531e-06,1.2358632767446488e-06,1.2358632767446486e-06
2,-9.5,400.0,0.21213203435596423,0.0012971315284170772,0.001297131528417077,0.0012917974197043291,0.001291797419704329
