rank,construction,ansatz,envelope,duration_ns,n_active,f_unitary,f_decoherence,f_practical,mean_abs_eps_z,mean_abs_eps_perp,parameter_count,study,case_id
682,basis-expanded,basis expanded,gaussian,1056.3380281690138,3,0.0551680782477676,0.9452195710415633,0.05214594725654229,,,15,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT3p0_targetD_seed93242
683,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,4,0.0567220530761727,0.9103767869122359,0.05163844042655141,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na4_chiT5p0_familyC
684,rich envelope,complex envelope,rich envelope,1056.3380281690138,3,0.0545025546640601,0.9452195710415633,0.051516881340232246,,,15,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT3p0_targetD_seed93242
685,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,4,0.0537785685021448,0.9452195710415633,0.050832555450826634,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na4_chiT3p0_familyC
686,direct,baseline multitone,gaussian,1056.3380281690138,3,0.0532442462574387,0.9452195710415633,0.05032750360788757,,,9,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT3p0_targetD_seed93240
687,single pulse,single_pulse,gaussian,352.112676056338,3,0.0512039059763042,0.9813958904975115,0.05025130290256591,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT1p0_familyD_seed317162
688,asymmetric echo,echoed_fixed_active,gaussian,352.112676056338,4,0.0499272472199334,0.9772175215572,0.04878978078643692,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT1p0_familyD_seed318260
689,direct,baseline multitone,gaussian,1056.3380281690138,3,0.0514745367473804,0.9452195710415633,0.04865473954392209,,,9,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT3p0_targetD_seed93242
690,asymmetric echo,echoed_fixed_active,gaussian,352.112676056338,2,0.0495206475068533,0.9772175215572,0.04839244442255492,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT1p0_familyD_seed316159
691,basis-expanded,basis expanded,gaussian,1056.3380281690138,3,0.0511894869594228,0.9452195710415633,0.048385304905623316,,,15,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT3p0_targetD_seed93240
692,rich envelope,complex envelope,rich envelope,1056.3380281690138,3,0.0510624922304401,0.9452195710415633,0.04826526700236975,,,15,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT3p0_targetD_seed93240
693,single pulse,single_pulse,gaussian,1056.3380281690138,3,0.0510258613289085,0.9452195710415633,0.04823064275733719,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT3p0_familyD_seed317162
694,single pulse,single_pulse,gaussian,352.112676056338,3,0.0490730360987346,0.9813958904975115,0.04816007596153417,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT1p0_familyD_seed317161
695,independent echo,echoed independent,rich envelope,352.112676056338,4,0.049255132308757,0.9772175215572,0.04813297831873548,2.0571020360216457,2.3129491247140463,27,native_rich_multitone_sqr_cpsqr_feasibility,chi_only_smooth_x_na4_chiT1p0
696,single pulse,single_pulse,gaussian,352.112676056338,3,0.0484510675481465,0.9813958904975115,0.04754967858196832,,,9,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT1p0_familyD_seed317160
697,asymmetric echo,echoed_fixed_active,gaussian,352.112676056338,2,0.0485068952358739,0.9772175215572,0.047401787940835445,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT1p0_familyD_seed316161
